;Class;gt;eval;t_start;t_end
0;car;12;12.0;18:45:00;18:46:00
1;person;4;5.0;18:45:00;18:46:00
2;motorcycle;2;2.0;18:45:00;18:46:00
3;bicycle;1;1.0;18:45:00;18:46:00
4;car;9;9.0;18:46:00;18:47:00
5;person;1;0.0;18:46:00;18:47:00
6;bicycle;1;1.0;18:46:00;18:47:00
7;car;14;14.0;18:47:00;18:48:00
8;person;6;5.0;18:47:00;18:48:00
9;motorcycle;1;1.0;18:47:00;18:48:00
10;bus;1;1.0;18:47:00;18:48:00
11;car;9;9.0;18:48:00;18:49:00
12;person;4;6.0;18:48:00;18:49:00
13;car;16;16.0;18:49:00;18:50:00
14;person;4;4.0;18:49:00;18:50:00
15;motorcycle;1;1.0;18:49:00;18:50:00
16;bus;1;1.0;18:49:00;18:50:00
17;bicycle;1;0.0;18:49:00;18:50:00
18;car;10;16.0;18:50:00;18:51:00
19;person;5;4.0;18:50:00;18:51:00
20;car;11;11.0;18:51:00;18:52:00
21;person;5;5.0;18:51:00;18:52:00
22;car;11;11.0;18:52:00;18:53:00
23;person;8;8.0;18:52:00;18:53:00
24;bus;1;1.0;18:52:00;18:53:00
25;bicycle;1;1.0;18:52:00;18:53:00
26;car;16;16.0;18:53:00;18:54:00
27;person;7;6.0;18:53:00;18:54:00
28;bus;1;1.0;18:53:00;18:54:00
29;person;7;8.0;18:54:00;18:55:00
30;car;6;6.0;18:54:00;18:55:00
31;car;14;15.0;18:55:00;18:56:00
32;person;4;2.0;18:55:00;18:56:00
33;bus;1;1.0;18:55:00;18:56:00
34;bicycle;1;1.0;18:55:00;18:56:00
35;car;9;9.0;18:56:00;18:57:00
36;person;1;1.0;18:56:00;18:57:00
37;bus;1;1.0;18:56:00;18:57:00
38;car;16;16.0;18:57:00;18:58:00
39;person;5;4.0;18:57:00;18:58:00
40;bus;1;1.0;18:57:00;18:58:00
41;bicycle;1;1.0;18:57:00;18:58:00
42;person;5;5.0;18:58:00;18:59:00
43;car;3;3.0;18:58:00;18:59:00
44;car;13;13.0;18:59:00;19:00:00
45;person;2;3.0;18:59:00;19:00:00
46;bus;1;1.0;18:59:00;19:00:00
