;Class;gt;eval;t_start;t_end
0;person;35.0;27.0;18:30:00;18:32:30
1;bicycle;1.0;1.0;18:30:00;18:32:30
2;person;18.0;12.0;18:32:30;18:35:00
3;bicycle;1.0;0.0;18:32:30;18:35:00
4;person;30.0;18.0;18:35:00;18:37:30
5;person;17.0;15.0;18:37:30;18:40:00
6;bicycle;2.0;1.0;18:37:30;18:40:00
7;motorcycle;0.0;2.0;18:37:30;18:40:00
8;car;0.0;1.0;18:37:30;18:40:00
9;person;39.0;20.0;18:40:00;18:42:30
10;motorcycle;0.0;1.0;18:40:00;18:42:30
11;person;36.0;21.0;18:42:30;18:45:00
12;car;1.0;0.0;18:42:30;18:45:00
13;bicycle;1.0;0.0;18:42:30;18:45:00
