;Class;gt;eval;t_start;t_end
0;person;14.0;10.0;18:30:00;18:31:00
1;person;14.0;9.0;18:31:00;18:32:00
2;bicycle;1.0;1.0;18:31:00;18:32:00
3;person;13.0;12.0;18:32:00;18:33:00
4;person;8.0;7.0;18:33:00;18:34:00
5;bicycle;1.0;0.0;18:33:00;18:34:00
6;person;4.0;2.0;18:34:00;18:35:00
7;person;6.0;3.0;18:35:00;18:36:00
8;person;17.0;10.0;18:36:00;18:37:00
9;person;9.0;7.0;18:37:00;18:38:00
10;person;6.0;4.0;18:38:00;18:39:00
11;person;9.0;12.0;18:39:00;18:40:00
12;bicycle;2.0;1.0;18:39:00;18:40:00
13;motorcycle;0.0;2.0;18:39:00;18:40:00
14;car;0.0;1.0;18:39:00;18:40:00
15;person;21.0;11.0;18:40:00;18:41:00
16;motorcycle;0.0;1.0;18:40:00;18:41:00
17;person;14.0;8.0;18:41:00;18:42:00
18;person;18.0;11.0;18:42:00;18:43:00
19;bicycle;1.0;0.0;18:42:00;18:43:00
20;person;8.0;7.0;18:43:00;18:44:00
21;person;14.0;5.0;18:44:00;18:45:00
