;Class;gt;eval;t_start;t_end
0;car;61;59.0;13:15:00;13:20:00
1;person;33;31.0;13:15:00;13:20:00
2;bicycle;4;4.0;13:15:00;13:20:00
3;motorcycle;2;2.0;13:15:00;13:20:00
4;truck;1;1.0;13:15:00;13:20:00
5;bus;1;1.0;13:15:00;13:20:00
6;car;56;62.0;13:20:00;13:25:00
7;person;32;37.0;13:20:00;13:25:00
8;bus;2;2.0;13:20:00;13:25:00
9;bicycle;2;3.0;13:20:00;13:25:00
10;truck;1;0.0;13:20:00;13:25:00
11;motorcycle;1;1.0;13:20:00;13:25:00
12;car;73;72.0;13:25:00;13:30:00
13;person;40;44.0;13:25:00;13:30:00
14;bus;6;6.0;13:25:00;13:30:00
15;bicycle;4;4.0;13:25:00;13:30:00
16;truck;3;1.0;13:25:00;13:30:00
17;motorcycle;1;1.0;13:25:00;13:30:00
