;Class;gt;eval;t_start;t_end
0;bicycle;1.0;0.0;18:45:00;18:46:00
1;person;1.0;3.0;18:45:00;18:46:00
2;person;10.0;6.0;18:46:00;18:47:00
3;person;5.0;6.0;18:47:00;18:48:00
4;bicycle;1.0;0.0;18:47:00;18:48:00
5;person;2.0;2.0;18:48:00;18:49:00
6;person;6.0;5.0;18:49:00;18:50:00
7;person;3.0;2.0;18:50:00;18:51:00
8;person;3.0;3.0;18:51:00;18:52:00
9;person;3.0;3.0;18:52:00;18:53:00
10;person;6.0;5.0;18:53:00;18:54:00
11;person;8.0;10.0;18:54:00;18:55:00
12;bicycle;1.0;1.0;18:54:00;18:55:00
13;person;2.0;3.0;18:55:00;18:56:00
14;bicycle;1.0;1.0;18:55:00;18:56:00
15;car;0.0;1.0;18:55:00;18:56:00
16;person;2.0;2.0;18:56:00;18:57:00
17;person;4.0;4.0;18:57:00;18:58:00
18;person;7.0;7.0;18:58:00;18:59:00
19;person;5.0;7.0;18:59:00;19:00:00
20;bicycle;1.0;0.0;18:59:00;19:00:00
