;Class;gt;eval;t_start;t_end
0;person;35;32.0;13:15:00;13:16:00
1;person;18;14.0;13:16:00;13:17:00
2;person;15;7.0;13:17:00;13:18:00
3;bicycle;3;2.0;13:17:00;13:18:00
4;person;20;19.0;13:18:00;13:19:00
5;person;9;9.0;13:19:00;13:20:00
6;bicycle;4;0.0;13:19:00;13:20:00
7;person;9;11.0;13:20:00;13:21:00
8;bicycle;1;0.0;13:20:00;13:21:00
9;person;11;7.0;13:21:00;13:22:00
10;bicycle;1;0.0;13:21:00;13:22:00
11;person;23;22.0;13:22:00;13:23:00
12;person;10;7.0;13:23:00;13:24:00
13;person;18;10.0;13:24:00;13:25:00
14;bicycle;1;2.0;13:24:00;13:25:00
15;person;8;6.0;13:25:00;13:26:00
16;bicycle;1;1.0;13:25:00;13:26:00
17;person;25;14.0;13:26:00;13:27:00
18;bicycle;2;0.0;13:26:00;13:27:00
19;person;16;15.0;13:27:00;13:28:00
20;person;19;13.0;13:28:00;13:29:00
21;person;13;23.0;13:29:00;13:30:00
22;bicycle;1;0.0;13:29:00;13:30:00
